name,descr,url,price,image_urls,images,id
Dimplex Castillo Electric Freestanding Fire - 2kW,"The Dimplex 2 kW Castillo freestanding electric fire is designed to be used freestanding flat against a wall. It is supplied assembled so it is very easy to set up. The Castillo has an elegant and contemporary look, finished in satin silver with chrome effect fret and trims. The fire has a choice of 2 heat settings (1 kW or 2 kW) for a greater control over your room temperature, and comes with a choice of a real coal or white pebble fuel bed, both of which are included. ",https://www.homebase.co.uk/dimplex-castillo-electric-freestanding-fire-2kw_p349659,169,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/54c4ce24-56d7-48d9-8f7e-6f7a48a0e578.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b4950be2-84f1-440f-b9ee-50dce1f657f8.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/44fa5f5d-e505-4d24-8eb7-0368d4a2fa71.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5d32f3ea-164c-4f97-9766-a15c77c9d46a.jpg",,349659
Dimplex Bayport 2KW Opti-myst Stove,A classic black freestanding stove featuring a 3D realistic flame effect; the perfect blend of tradition and innovation and will be a perfect statement feature in any home. ,https://www.homebase.co.uk/dimplex-bayport-2kw-opti-myst-stove_p495411,450,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dd2e9d9e-6902-4c19-9f96-5659f8103bcb.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2b5f2482-22cd-4bdf-83e2-7742cd3d1298.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e1fd46c1-55da-487c-88b2-5687d85d5849.jpg",,495411
Scandia Contour Companion Set,The Scandia Glass Base and Stainless Fire Tool Set is the perfect accessory for any contemporary wood fired home.,https://www.homebase.co.uk/scandia-contour-companion-set_p479768,40,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f22985bc-2da6-42f0-be71-f43108247cff.jpg,,479768
Scandia Round 760 Wood Storage,"The Round 750 is a beautifully designed wood storage solution and the ideal choice to complement any wood fire. The round 750 is equipped with 3 various compartments, one large area for storing logs and larger wood pieces, a smaller compartment for kindling, matches or paper.",https://www.homebase.co.uk/scandia-round-760-wood-storage_p479764,150,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f9052676-c0a2-4b7f-8729-696ba4db1f00.jpg,,479764
Hire Evaporative Cooler 240V - 1 Day,This Evaporative Cooler is all you need to keep your living/office environment comfortable in the warmer summer months. Loaded with user-friendly features: Honeycomb cooling media for optimum cooling. A user friendly touch control panel and angled viewing LCD display. 0.5 to 8 hours OFF timer. A detachable water tank and a low water alarm. Adjustable humidification level and oscillating louver. A top loading ice compartment.,https://www.homebase.co.uk/hire-evaporative-cooler-240v-1-day_p490537,81.84,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8251ebf1-d205-4669-8551-9693c2ffb6f4.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/6ee2b09d-b760-42fe-8782-3ed1fe299eaf.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dbdae05c-336c-49af-9bdd-5902a88eba2d.jpg",,490537
Glenmore Electric Suite,"The Glenmore electric suite in Soft white painted finish has a grand presence guaranteed to grace any room in your home. A real audience pleaser, this traditional styled suite comes complete with soft under mantel lighting to create the perfect ambient background glow whilst showcasing the inset fire below. A realistic coal bed with smouldering embers and dancing flames delivers an outstanding performance. Teamed with the accompanying heavenly warmth the Glenmore is the perfect addition to your home.  ",https://www.homebase.co.uk/glenmore-electric-suite_p434466,525,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/042798c6-e159-48f3-9703-22a06ba6f1ad.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/fd452e6b-d54a-4457-b211-7c396c848b37.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1627b245-0130-4f31-ae31-4cff60005652.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dc34e709-839e-47d4-900d-209fa549a9e4.jpg",,434466
Grey Barrel Pendant Light,Capiz shells in a barrel shape.,https://www.homebase.co.uk/grey-barrel-pendant-light_p471253,17,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1672dbd6-3594-4eee-ab61-692d3110a067.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2e195a08-c400-45c6-80e4-353fd8789a78.jpg",,471253
Aviemore Black Electric Stove,"The Adam Aviemore is an electric stove with a difference, with it's textured black, haughty colour, this traditionally styled stove has an air of elegance about it, which allows it to fit into both classically and contemporary interiors. The real magic begins when you switch the fire on and are enveloped by the simmering glow of the realistic LED flame effect - perfect for long, cosy evenings. A modern iteration of a traditional design, use this stylish stove to update your home.",https://www.homebase.co.uk/aviemore-black-electric-stove_p499567,149,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/0bad6352-b5a5-4b04-9e5c-b3efb8da2ac4.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/cbb35064-5b76-4d99-8d61-9dae07cd9894.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b486623e-03f3-40a0-933e-23b848eb5904.jpg",,499567
Aviemore White Electric Stove,"The Adam Aviemore is an electric stove with a difference, with it's smooth white colour, this traditionally styled stove has an air of elegance about it, which allows it to fit into both classically and contemporary interiors. The real magic begins when you switch the fire on and are enveloped by the simmering glow of the realistic LED flame effect - perfect for long, cosy evenings. A modern iteration of a traditional design, use this stylish stove to update your home.",https://www.homebase.co.uk/aviemore-white-electric-stove_p499568,149,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/6322a415-9b54-43dd-8baf-bbce1040c3c8.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/6169c44b-09ef-4dc0-9ed9-37591ffb40b1.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/477606ab-d9d1-4b7a-812f-83269304ce65.jpg",,499568
Oval Log Basket,This brown willow Oval Basket brings a traditional yet rustic feel to the practical necessity of log storage for your fire.,https://www.homebase.co.uk/oval-log-basket_p100503,12.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/612804b9-a17a-45a6-add6-133e769952f0.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d34ab03c-9929-4919-b5aa-4ba7d9df4a58.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/09a21821-63f0-44c7-ad23-9c56cd144f8d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2c512afd-c83e-4181-a39b-eca7891f1fec.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3bea771c-1c3f-4a4d-8d02-0b107b4e08fc.jpg",,100503
Mansion Medium Coal Hod,Fireside coal bucket for practical storage of solid fuels or for use as a decorative furnishing to enhance any fireplace.,https://www.homebase.co.uk/mansion-medium-coal-hod_p100510,18,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b9cc4100-9dcd-4499-98a4-3295c1de88d8.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d0a9f165-ba92-4e12-971f-2604e561ec2f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4a63ed25-d225-4b60-a21c-00738ba241b3.jpg",,100510
Dimplex Chevalier 2kW Electric Stove,"The Dimplex Chevalier is an authentic, cast iron styled electric stove, an ideal alternative to traditional wood burning/solid fuel stove. Adding to the stove authenticity, the Chevalier uses Optiflame technology creating a realistic flame effect which can be operated with or without heat, making it ideal for use all year round. Completing the look, the Chevalier has opening doors finishing off its realistic appearance. Electric fires are easy to operate as there is little or no installation required. ",https://www.homebase.co.uk/dimplex-chevalier-2kw-electric-stove_p128905,399,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/58b8e9c1-934b-4c08-97a6-047bf9dcb401.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/18c2c97a-c8a9-4941-bead-d456825761a7.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9386ee9b-17f0-47d9-bd18-22f442e5ff13.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/617f95e3-2f6e-4503-9998-fe59c4db5e16.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/42cef840-f0e3-441f-b9e9-d31ce25941cd.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/113b8ca2-5064-4fd9-87c3-6db82b378fcf.jpg",,128905
1800W Electric Stove,"This Electric Stove has a reassuring traditional design, with realistic smouldering coal effect.  It has two heat settings, adjustable thermostat and overheat protection for safety.",https://www.homebase.co.uk/1800w-electric-stove_p470132,120,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f26f3913-5355-439e-a10a-c1934f39d6fb.jpg,,470132
Antique Pewter Coal Bucket,"This pewter fireplace coal bucket is not only a necessary fireside accessory, but with a classic, timeless design it also looks great too. Use this set to ensure your coal or logs are stored dry and safe.",https://www.homebase.co.uk/antique-pewter-coal-bucket_p481958,22.99,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a88712e5-dcfd-4dd4-97d9-ad1049a80c46.jpg,,481958
Karcher Rotary Wash Brush,"The Karcher WB 100 rotating wash brush is perfect for cleaning all smooth surfaces, e.g. paint, glass or plastic. This wash brush comes with a number of features allowing for a superior clean with the minimum of effort: rotating bristles with gentle cleaning action, 180 degree infinitely adjustable joint on handle for cleaning difficult to reach areas , infinitely adjustable speed and detergent dosing, easy to change brush attachment, outer protector ring for protection against scratches and union nut for secure gun connection. This brush is suitable for all Karcher K2 and K7 series pressure washers making it a great addition to your outdoor cleaning kit.",https://www.homebase.co.uk/karcher-rotary-wash-brush_p142472,29.74,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8b595e75-298a-43ba-bb67-9e27a24258f5.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/77170f8b-4521-41bd-9fe4-cf62b1f0b04e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e7d8ce97-8047-41de-90a9-4b893226e3d1.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/cab0d77b-aca6-4f10-9bf9-d72224ae52ae.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/cf180ae1-7916-4932-a7cc-ffa8f39b6bf4.jpg",,142472
Mondella Monaco Single Lever Tap - Chrome,"The single lever tap from the Mondella Monaco collection has a classic design with a slightly longer reach than a traditional tap, allowing you to set it a little further back from your sink.",https://www.homebase.co.uk/mondella-monaco-single-lever-tap-chrome_p423980,69,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/297c8a50-484f-4ba7-bb5d-faa5fdcd79d4.jpg,,423980
